time,vehicle_id,x,y,speed
0,V1,155.0,315.0,19.0
0,V2,78.0,79.0,6.0
0,V3,215.0,244.0,5.0
1,V1,228.0,469.0,18.0
1,V2,116.0,118.0,6.0
1,V3,319.0,369.0,6.0
2,V1,226.0,464.0,19.0
2,V2,115.0,119.0,5.0
2,V3,316.0,370.0,6.0
3,V1,222.0,453.0,20.0
3,V2,115.0,119.0,6.0
3,V3,309.0,372.0,5.0
4,V1,216.0,450.0,20.0
4,V2,118.0,118.0,5.0
4,V3,308.0,373.0,6.0
5,V1,206.0,449.0,21.0
5,V2,119.0,116.0,5.0
5,V3,309.0,375.0,5.0
6,V1,197.0,448.0,0.0
6,V2,122.0,116.0,5.0
6,V3,313.0,374.0,6.0
7,V1,190.0,440.0,0.0
7,V2,123.0,117.0,5.0
7,V3,317.0,371.0,6.0
8,V1,190.0,438.0,0.0
8,V2,123.0,119.0,5.0
8,V3,317.0,369.0,6.0
9,V1,184.0,436.0,0.0
9,V2,122.0,120.0,6.0
9,V3,319.0,366.0,6.0
10,V1,180.0,433.0,0.0
10,V2,119.0,120.0,6.0
10,V3,317.0,366.0,6.0
11,V1,175.0,429.0,0.0
11,V2,115.0,122.0,6.0
11,V3,314.0,365.0,7.0
12,V1,169.0,427.0,0.0
12,V2,113.0,121.0,7.0
12,V3,310.0,365.0,7.0
13,V1,163.0,426.0,0.0
13,V2,112.0,120.0,7.0
13,V3,312.0,366.0,8.0
14,V1,159.0,423.0,21.0
14,V2,113.0,121.0,8.0
14,V3,314.0,364.0,7.0
15,V1,162.0,413.0,21.0
15,V2,111.0,121.0,8.0
15,V3,316.0,361.0,6.0
16,V1,168.0,411.0,20.0
16,V2,109.0,122.0,9.0
16,V3,315.0,356.0,7.0
17,V1,173.0,409.0,20.0
17,V2,106.0,120.0,8.0
17,V3,314.0,349.0,8.0
18,V1,183.0,421.0,21.0
18,V2,104.0,122.0,7.0
18,V3,314.0,347.0,8.0
19,V1,199.0,428.0,22.0
19,V2,104.0,125.0,7.0
19,V3,315.0,349.0,7.0
20,V1,218.0,434.0,21.0
20,V2,104.0,128.0,7.0
20,V3,321.0,355.0,7.0
21,V1,233.0,435.0,22.0
21,V2,109.0,127.0,8.0
21,V3,323.0,358.0,7.0
22,V1,240.0,441.0,22.0
22,V2,111.0,125.0,7.0
22,V3,327.0,357.0,7.0
23,V1,234.0,444.0,21.0
23,V2,117.0,124.0,7.0
23,V3,330.0,355.0,7.0
24,V1,217.0,454.0,21.0
24,V2,120.0,124.0,7.0
24,V3,334.0,353.0,7.0
25,V1,219.0,451.0,17.0
25,V2,119.0,124.0,7.0
25,V3,316.0,361.0,7.0
26,V1,208.0,462.0,15.0
26,V2,115.0,120.0,7.0
26,V3,311.0,363.0,7.0
27,V1,209.0,449.0,15.0
27,V2,116.0,121.0,7.0
27,V3,312.0,357.0,7.0
28,V1,203.0,446.0,16.0
28,V2,117.0,125.0,7.0
28,V3,308.0,357.0,7.0
29,V1,200.0,440.0,14.0
29,V2,118.0,123.0,7.0
29,V3,315.0,357.0,7.0
